Planescape,Beamdog,19.99,19.99,0.00,[windows,1491858000,False
SPORE™ Collection,Electronic Arts,29.99,29.99,0.00,[windows],1229637600,False
BioShock Infinite Complete Edition,2K Games,54.99,54.99,0.00,[windows],1364162400,False
TIS-100,Zachtronics,3.49,6.99,3.50,[windows,1437339600,False
STAR WARS™ Empire at War,Disney,19.99,19.99,0.00,[windows],1140040800,False
Paradigm,Jacob Janerka,5.99,14.99,9.00,[windows,1491339600,False
STAR WARS™,Disney,9.99,9.99,0.00,[windows],1069192800,False
Medal of Honor,Electronic Arts,9.99,9.99,0.00,[windows],1078178400,False
Forgotten Realms,GOG,9.99,9.99,0.00,[windows,662680800,False
Tropico 3 Gold Edition,Kalypso Media Digital,14.99,14.99,0.00,[windows],1255986000,False
Battle Engine Aquila,Ziggurat Interactive,9.99,9.99,0.00,[windows],1067724000,False
Neverwinter Nights,Beamdog,4.99,4.99,0.00,[windows,1585000800,False
Battlefleet Gothic,Focus Home Interactive,4.99,19.99,15.00,[windows],1461186000,False
Blood,Nightdive Studios,9.99,9.99,0.00,[windows],1557349200,False
True Fear,Digital Lounge ,3.14,8.99,5.85,[windows,1476824400,False
The Ultimate DOOM,Bethesda Softworks LLC,5.99,5.99,0.00,[windows],799189200,False
Townsmen - A Kingdom Rebuilt,HandyGames,19.99,19.99,0.00,[windows],1551132000,False
Dungeon Keeper Gold™,Electronic Arts,5.99,5.99,0.00,[windows,867272400,False
Project Hospital,Oxymoron Games,24.99,24.99,0.00,[windows,1540850400,False
SimCity™ 2000 Special Edition,Electronic Arts,5.99,5.99,0.00,[windows,793922400,False
Megaquarium,Twice Circled,11.99,11.99,0.00,[windows,1591218000,False
Dungeon Keeper™ 2,Electronic Arts,5.99,5.99,0.00,[windows],931294800,False
Warhammer,Games Workshop,9.99,9.99,0.00,[windows],1163455200,False
Unruly Heroes,Magic Design Studios,9.99,19.99,10.00,[windows],1548194400,False
PC Building Simulator,The Irregular Corporation,19.99,19.99,0.00,[windows],1548712800,False
Frostpunk,11 bit studios,24.49,24.49,0.00,[windows],1566853200,False
"""Project Highrise",Kasedo Games,29.99,29.99,0.00,[windows,1542060000,False
Fury Unleashed,Awesome Games Studio,19.99,19.99,0.00,[windows,1588885200,False
Ostriv, yevhen8,24.99,24.99,0.00,[windows],1584568800,False
Dead Cells,Motion Twin,26.99,26.99,0.00,[windows,1581372000,False
Gothic 2 Gold Edition,THQ Nordic GmbH,9.99,9.99,0.00,[windows],1133215200,False
Pathfinder,Deep Silver,49.99,49.99,0.00,[windows,1537822800,False
We. The Revolution,Klabater,19.99,19.99,0.00,[windows,1553119200,False
MOLEK-SYNTEZ,Zachtronics,4.99,9.99,5.00,[windows,1574114400,False
Forgotten Realms,GOG,9.99,9.99,0.00,[windows,596930400,False
Return of the Obra Dinn,3909 LLC,19.99,19.99,0.00,[windows,1539810000,False
DUSK,New Blood Interactive,19.99,19.99,0.00,[windows,1544392800,False
Creaks,Amanita Design,19.99,19.99,0.00,[windows,1595365200,False
Fallout 2,Bethesda Softworks LLC,9.99,9.99,0.00,[windows],907102800,False
Gobliiins pack,DotEmu,1.49,5.99,4.50,[windows],741819600,False
Soldier of Fortune II,Activision,9.99,9.99,0.00,[windows],1046124000,False
Human Resource Machine,Tomorrow Corporation,5.99,14.99,9.00,[windows,1444856400,False
Surviving Mars - Digital Deluxe Edition,Paradox Interactive,39.99,39.99,0.00,[windows,1521064800,False
Gothic,THQ Nordic GmbH,9.99,9.99,0.00,[windows],1008367200,False
Pushover,Piko Interactive,1.99,4.99,3.00,[windows,694216800,False
BPM,Awe Interactive,7.99,7.99,0.00,[windows],1600117200,False
"""Sid Meiers Alpha Centauri™ Planetary Pack""",Electronic Arts,5.99,5.99,0.00,[windows],917733600,False
Undertale,Toby Fox,9.99,9.99,0.00,[windows,1442264400,False
XCOM,2K Games,49.99,49.99,0.00,[windows],1394143200,False
STAR WARS™ Knights of the Old Republic™ II,Disney,9.99,9.99,0.00,[windows],1102284000,False
As Far As The Eye,Goblinz Studio,37.36,37.36,0.00,[windows],1599685200,False
Caesar II,Activision,5.99,5.99,0.00,[windows],788911200,False
Lake Ridden,Midnight Hub,3.24,12.99,9.75,[windows],1525899600,False
Grim Dawn - Ashes of Malmouth,Crate Entertainment,17.99,17.99,0.00,[windows],1507669200,False
The Settlers® 2,Ubisoft,9.99,9.99,0.00,[windows],1161896400,False
The Settlers® 2,Ubisoft,9.99,9.99,0.00,[windows],841438800,False
"""Devils Hunt""",1C Entertainment,14.99,14.99,0.00,[windows],1568667600,False
Return of the Phantom,Ziggurat Interactive,6.99,6.99,0.00,[windows],746830800,False
The Colonists,Mode 7,24.99,24.99,0.00,[windows,1540328400,False
HuniePop,HuniePot,2.49,9.99,7.50,[windows,1421618400,False
Hellpoint,tinyBuild,34.99,34.99,0.00,[windows,1596056400,False
Stellaris,Paradox Interactive,19.99,19.99,0.00,[windows,1584396000,False
Willy Morgan and the Curse of Bone Town,VLG Publishing,16.99,19.99,3.00,[windows],1597093200,False
Grim Dawn - Forgotten Gods,Crate Entertainment,15.99,15.99,0.00,[windows],1553637600,False
Last Day of June,505 Games,4.99,19.99,15.00,[windows],1504126800,False
Might and Magic® 7,Ubisoft,5.99,5.99,0.00,[windows],915228000,False
The Witcher 3,CD PROJEKT RED,39.99,39.99,0.00,[windows],1431982800,False
The Legend of Heroes,XSEED Games,29.99,29.99,0.00,[windows],1446069600,False
Day of the Tentacle Remastered,Double Fine Productions,14.99,14.99,0.00,[windows,1458597600,False
